ranker,player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
227,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,24,2000,11,4,407,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,1,25,4,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
228,Mattia Bani,it ITA,DF,Genoa,it Serie A,30,1993,20,19,"1,507",16.7,0,0,0,0,0,0,3,0,1.2,1.2,0.2,1.4,6,25,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
229,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,17,2006,8,2,278,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,8,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
230,Scott Banks,sct SCO,"FW,MF",St. Pauli,de Bundesliga,22,2001,12,0,116,1.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,1,8,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
231,Adrian Baquerin,es ESP,FW,Valladolid,es La Liga,17,2007,5,0,49,0.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,0,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.71,0.71,Matches
232,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,29,1994,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,5,0.00,0.00,0.00,0.00,0.00,0.13,0.47,0.60,0.13,0.60,Matches
233,Federico Barba,it ITA,DF,Como,it Serie A,30,1993,7,5,431,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,25,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
234,Valentín Barco,ar ARG,"DF,FW",Sevilla,es La Liga,20,2004,7,3,288,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,4,13,13,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.28,0.09,0.28,Matches
235,Valentín Barco,ar ARG,"MF,DF",Strasbourg,fr Ligue 1,20,2004,14,14,"1,157",12.9,0,2,2,0,0,0,2,0,0.5,0.5,1.5,2.0,20,64,55,0.00,0.16,0.16,0.00,0.16,0.04,0.11,0.15,0.04,0.15,Matches
236,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,21,2002,34,27,"2,181",24.2,14,10,24,14,0,0,2,0,13.4,13.4,10.1,23.5,137,96,374,0.58,0.41,0.99,0.58,0.99,0.55,0.42,0.97,0.55,0.97,Matches
237,Melvin Bard,fr FRA,"DF,MF",Nice,fr Ligue 1,23,2000,24,22,"1,938",21.5,2,1,3,2,0,0,4,2,2.2,2.2,1.9,4.1,53,88,95,0.09,0.05,0.14,0.09,0.14,0.10,0.09,0.19,0.10,0.19,Matches
238,Nicolò Barella,it ITA,MF,Inter,it Serie A,27,1997,33,29,"2,493",27.7,3,6,9,3,0,0,4,0,2.2,2.2,4.5,6.7,63,235,133,0.11,0.22,0.32,0.11,0.32,0.08,0.16,0.24,0.08,0.24,Matches
239,Gabriel Bares,ch SUI,"MF,DF",Montpellier,fr Ligue 1,23,2000,6,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
240,Borna Barišić,hr CRO,DF,Leganés,es La Liga,31,1992,1,1,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
241,Téo Barisic,hr CRO,DF,Lyon,fr Ligue 1,19,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
242,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,27,1997,15,3,315,3.5,0,1,1,0,0,0,3,0,0.2,0.2,1.2,1.4,22,4,39,0.00,0.29,0.29,0.00,0.29,0.05,0.34,0.39,0.05,0.39,Matches
243,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,30,1993,20,3,581,6.5,3,1,4,3,0,0,3,0,1.8,1.8,0.6,2.4,15,36,10,0.46,0.15,0.62,0.46,0.62,0.27,0.10,0.37,0.27,0.37,Matches
244,Aymen Barkok,ma MAR,MF,Mainz 05,de Bundesliga,26,1998,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
245,Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,26,1997,33,17,"1,755",19.5,9,4,13,9,0,0,0,0,7.2,7.2,4.0,11.2,93,83,192,0.46,0.21,0.67,0.46,0.67,0.37,0.20,0.57,0.37,0.57,Matches
246,Enzo Barrenechea,ar ARG,MF,Valencia,es La Liga,23,2001,30,26,"2,191",24.3,1,2,3,1,0,0,6,0,1.3,1.3,0.9,2.3,21,126,16,0.04,0.08,0.12,0.04,0.12,0.05,0.04,0.09,0.05,0.09,Matches
