ranker,player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
724,Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18,2006,33,20,"1,874",20.8,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,69,64,96,0.10,0.00,0.10,0.10,0.10,0.12,0.07,0.20,0.12,0.20,Matches
725,Diego,es ESP,FW,Leganés,es La Liga,24,2000,28,13,"1,195",13.3,3,0,3,3,0,0,2,0,3.8,3.8,0.2,4.0,9,16,49,0.23,0.00,0.23,0.23,0.23,0.28,0.02,0.30,0.28,0.30,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
726,Justin Diehl,de GER,"FW,DF",Stuttgart,de Bundesliga,19,2004,6,0,104,1.2,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,5,5,20,0.87,0.00,0.87,0.87,0.87,0.84,0.10,0.94,0.84,0.94,Matches
727,Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,24,2000,18,5,532,5.9,3,0,3,2,1,1,1,0,3.1,2.3,0.0,2.4,6,7,35,0.51,0.00,0.51,0.34,0.34,0.53,0.01,0.53,0.39,0.40,Matches
728,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,30,1994,21,16,"1,463",16.3,2,1,3,2,0,0,1,0,1.1,1.1,0.1,1.2,12,73,1,0.12,0.06,0.18,0.12,0.18,0.07,0.01,0.08,0.07,0.08,Matches
729,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31,1993,32,28,"2,351",26.1,0,4,4,0,0,0,4,0,0.8,0.8,4.7,5.5,23,57,142,0.00,0.15,0.15,0.00,0.15,0.03,0.18,0.21,0.03,0.21,Matches
730,Kembo Diliwidi,fr FRA,DF,Lens,fr Ligue 1,18,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
731,Federico Dimarco,it ITA,"DF,FW",Inter,it Serie A,26,1997,33,29,"2,177",24.2,4,7,11,4,0,0,3,0,3.3,3.3,6.1,9.5,47,83,232,0.17,0.29,0.45,0.17,0.45,0.14,0.26,0.39,0.14,0.39,Matches
732,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,30,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
733,Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,23,2000,7,3,293,3.3,0,1,1,0,0,0,0,0,0.9,0.9,0.9,1.8,5,3,27,0.00,0.31,0.31,0.00,0.31,0.26,0.29,0.56,0.26,0.56,Matches
734,Eren Dinkçi,de GER,"MF,FW",Freiburg,de Bundesliga,22,2001,23,13,"1,196",13.3,0,3,3,0,0,0,1,0,1.1,1.1,2.2,3.3,33,35,71,0.00,0.23,0.23,0.00,0.23,0.09,0.16,0.25,0.09,0.25,Matches
735,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23,2001,23,22,"1,945",21.6,3,2,5,3,0,0,6,0,1.1,1.1,0.6,1.7,8,72,8,0.14,0.09,0.23,0.14,0.23,0.05,0.03,0.08,0.05,0.08,Matches
736,Yan Diomandé,ci CIV,"MF,FW",Leganés,es La Liga,17,2006,10,6,545,6.1,2,1,3,2,0,0,1,0,1.4,1.4,0.9,2.3,37,16,64,0.33,0.17,0.50,0.33,0.50,0.24,0.14,0.38,0.24,0.38,Matches
737,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,31,1992,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
738,Issa Diop,fr FRA,DF,Fulham,eng Premier League,27,1997,21,15,"1,339",14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
739,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,19,2005,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
740,Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,24,2000,28,8,"1,064",11.8,6,4,10,6,0,0,3,0,6.0,6.0,2.9,8.9,26,64,70,0.51,0.34,0.85,0.51,0.85,0.51,0.24,0.75,0.51,0.75,Matches
741,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21,2003,34,27,"2,225",24.7,1,2,3,1,0,0,2,0,2.9,2.9,2.8,5.7,82,116,94,0.04,0.08,0.12,0.04,0.12,0.12,0.11,0.23,0.12,0.23,Matches
742,Yehvann Diouf,sn SEN,GK,Reims,fr Ligue 1,24,1999,34,34,"3,060",34.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
743,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,26,1997,17,7,663,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,33,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
744,Axel Disasi,fr FRA,DF,Aston Villa,eng Premier League,26,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
745,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,26,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
746,Roman Dixon,eng ENG,DF,Everton,eng Premier League,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
747,Álvaro djaló,gw GNB,FW,Athletic Club,es La Liga,24,1999,17,7,659,7.3,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,22,13,60,0.14,0.00,0.14,0.14,0.14,0.11,0.12,0.23,0.11,0.23,Matches
748,Djené,tg TOG,"DF,MF",Getafe,es La Liga,32,1991,31,31,"2,548",28.3,0,0,0,0,0,0,10,1,0.3,0.3,0.6,0.9,18,74,21,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
749,Nasser Djiga,bf BFA,DF,Wolves,eng Premier League,21,2002,5,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
750,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,31,1993,34,32,"2,640",29.3,1,2,3,1,0,0,6,0,2.7,2.7,1.3,3.9,32,109,42,0.03,0.07,0.10,0.03,0.10,0.09,0.04,0.13,0.09,0.13,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
751,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,32,1992,32,32,"2,880",32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
752,Ritsu Doan,jp JPN,"FW,MF",Freiburg,de Bundesliga,26,1998,34,33,"2,862",31.8,10,7,17,10,0,0,2,0,6.6,6.6,3.7,10.3,64,130,178,0.31,0.22,0.53,0.31,0.53,0.21,0.12,0.32,0.21,0.32,Matches
753,Dodô,br BRA,DF,Fiorentina,it Serie A,25,1998,35,35,"3,115",34.6,0,5,5,0,0,0,8,0,1.4,1.4,4.2,5.6,143,128,193,0.00,0.14,0.14,0.00,0.14,0.04,0.12,0.16,0.04,0.16,Matches
754,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,26,1998,34,34,"3,060",34.0,1,1,2,1,0,0,4,0,2.6,2.6,1.4,4.0,13,96,14,0.03,0.03,0.06,0.03,0.06,0.08,0.04,0.12,0.08,0.12,Matches
755,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,32,1992,30,25,"2,109",23.4,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.6,29,79,41,0.09,0.04,0.13,0.09,0.13,0.04,0.07,0.11,0.04,0.11,Matches
756,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,22,2002,29,16,"1,516",16.8,3,6,9,3,0,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36,Matches
757,Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,18,2006,10,3,303,3.4,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,1,4,21,0.00,0.00,0.00,0.00,0.00,0.22,0.06,0.27,0.22,0.27,Matches
758,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
759,Benjamín Domínguez,ar ARG,FW,Bologna,it Serie A,20,2003,24,16,"1,281",14.2,3,2,5,3,0,0,0,0,2.2,2.2,0.8,3.1,50,32,123,0.21,0.14,0.35,0.21,0.35,0.16,0.06,0.21,0.16,0.21,Matches
760,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,23,2001,19,13,"1,181",13.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,15,66,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
761,Israel Domínguez,es ESP,FW,Sevilla,es La Liga,21,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
762,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,26,1998,34,23,"1,963",21.8,0,1,1,0,0,0,9,0,1.5,1.5,1.3,2.8,16,83,33,0.00,0.05,0.05,0.00,0.05,0.07,0.06,0.13,0.07,0.13,Matches
763,Sergi Dominguez,es ESP,DF,Barcelona,es La Liga,19,2005,3,2,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
764,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25,1999,24,24,"2,091",23.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
765,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,19,2004,12,10,842,9.4,0,0,0,0,0,0,3,1,0.4,0.4,0.7,1.2,41,34,83,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.12,0.05,0.12,Matches
766,Patrick Dorgu,dk DEN,"DF,FW",Lecce,it Serie A,19,2004,21,21,"1,840",20.4,3,1,4,3,0,0,2,1,3.3,3.3,1.5,4.8,68,54,117,0.15,0.05,0.20,0.15,0.20,0.16,0.07,0.23,0.16,0.23,Matches
767,Alfie Dorrington,eng ENG,DF,Tottenham,eng Premier League,19,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
768,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,26,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
769,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,26,1998,22,19,"1,335",14.8,2,2,4,2,0,0,5,1,1.0,1.0,1.1,2.1,13,57,21,0.13,0.13,0.27,0.13,0.27,0.07,0.07,0.14,0.07,0.14,Matches
770,Alberto Dossena,it ITA,DF,Como,it Serie A,25,1998,23,20,"1,825",20.3,0,2,2,0,0,0,1,1,0.8,0.8,0.7,1.5,4,36,1,0.00,0.10,0.10,0.00,0.10,0.04,0.03,0.07,0.04,0.07,Matches
771,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,31,1993,33,31,"2,564",28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,Matches
772,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,24,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
773,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,19,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
774,Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,19,2005,31,18,"1,730",19.2,6,6,12,6,0,0,1,0,5.1,5.1,7.8,13.0,97,139,232,0.31,0.31,0.62,0.31,0.62,0.27,0.41,0.67,0.27,0.67,Matches
775,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,21,2002,32,30,"2,717",30.2,1,2,3,1,0,0,7,0,0.8,0.8,0.7,1.5,51,173,54,0.03,0.07,0.10,0.03,0.10,0.03,0.02,0.05,0.03,0.05,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
776,Douglas,br BRA,MF,Nantes,fr Ligue 1,27,1997,28,28,"2,307",25.6,4,2,6,4,0,0,8,0,3.4,3.4,1.5,4.9,14,125,34,0.16,0.08,0.23,0.16,0.23,0.13,0.06,0.19,0.13,0.19,Matches
777,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,21,2003,31,31,"2,639",29.3,1,1,2,1,0,0,7,0,0.6,0.6,1.1,1.6,20,116,9,0.03,0.03,0.07,0.03,0.07,0.02,0.04,0.06,0.02,0.06,Matches
778,Issa Doumbia,it ITA,MF,Venezia,it Serie A,20,2003,24,10,939,10.4,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.2,12,22,29,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Matches
779,Kamory Doumbia,ml MLI,"MF,FW",Brest,fr Ligue 1,21,2003,30,13,"1,322",14.7,3,2,5,3,0,0,1,0,2.7,2.7,1.2,3.9,17,72,54,0.20,0.14,0.34,0.20,0.34,0.19,0.08,0.27,0.19,0.27,Matches
780,Amidou Doumbouya,fr FRA,DF,Nice,fr Ligue 1,16,2007,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
781,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,24,1999,13,6,580,6.4,2,2,4,2,0,0,1,0,2.5,2.5,1.1,3.7,8,6,36,0.31,0.31,0.62,0.31,0.62,0.40,0.17,0.57,0.40,0.57,Matches
782,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,24,1999,20,6,700,7.8,3,1,4,3,0,0,2,0,4.4,4.4,0.2,4.7,6,6,43,0.39,0.13,0.51,0.39,0.51,0.57,0.03,0.60,0.57,0.60,Matches
783,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27,1997,32,27,"2,418",26.9,12,2,14,10,2,2,0,0,11.9,10.3,2.4,12.7,24,16,175,0.45,0.07,0.52,0.37,0.45,0.44,0.09,0.53,0.38,0.47,Matches
784,Flynn Downes,eng ENG,MF,Southampton,eng Premier League,25,1999,27,25,"2,151",23.9,1,0,1,1,0,0,12,0,0.6,0.6,1.1,1.7,29,66,29,0.04,0.00,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,Matches
785,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,22,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20,Matches
786,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,22,2002,16,14,"1,252",13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
787,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,31,1993,21,21,"1,890",21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
788,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,19,2005,8,5,357,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,16,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
789,Domingos Duarte,pt POR,DF,Getafe,es La Liga,29,1995,22,21,"1,859",20.7,1,0,1,1,0,0,4,2,0.2,0.2,0.1,0.3,3,47,3,0.05,0.00,0.05,0.05,0.05,0.01,0.00,0.01,0.01,0.01,Matches
790,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
791,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,30,1994,32,30,"2,418",26.9,8,8,16,7,1,2,3,0,10.1,8.5,8.5,17.0,26,86,166,0.30,0.30,0.60,0.26,0.56,0.38,0.31,0.69,0.32,0.63,Matches
792,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,29,1994,28,27,"2,395",26.6,1,3,4,1,0,0,12,1,1.0,1.0,3.2,4.2,23,117,26,0.04,0.11,0.15,0.04,0.15,0.04,0.12,0.16,0.04,0.16,Matches
793,Duk,cv CPV,"MF,FW",Leganés,es La Liga,24,2000,10,1,179,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,10,3,21,0.00,0.00,0.00,0.00,0.00,0.01,0.33,0.34,0.01,0.34,Matches
794,Denzel Dumfries,nl NED,"DF,FW",Inter,it Serie A,28,1996,29,20,"1,955",21.7,7,2,9,7,0,0,4,0,5.4,5.4,3.2,8.6,55,51,173,0.32,0.09,0.41,0.32,0.41,0.25,0.15,0.40,0.25,0.40,Matches
795,Alfred Duncan,gh GHA,MF,Venezia,it Serie A,31,1993,16,12,957,10.6,0,0,0,0,0,0,2,0,0.8,0.8,1.1,1.9,11,53,12,0.00,0.00,0.00,0.00,0.00,0.07,0.10,0.18,0.07,0.18,Matches
796,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,32,1991,25,23,"2,083",23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches
797,Jáder Durán,co COL,FW,Aston Villa,eng Premier League,20,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches
798,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,23,2001,27,15,"1,394",15.5,4,4,8,4,0,0,3,0,3.6,3.6,2.8,6.5,24,30,124,0.26,0.26,0.52,0.26,0.52,0.24,0.18,0.42,0.24,0.42,Matches
799,Julien Duranville,be BEL,"FW,MF",Dortmund,de Bundesliga,18,2006,12,2,283,3.1,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.6,16,7,33,0.00,0.00,0.00,0.00,0.00,0.08,0.10,0.18,0.08,0.18,Matches
800,Hugo Duro,es ESP,FW,Valencia,es La Liga,24,1999,31,25,"2,166",24.1,11,2,13,10,1,1,5,0,9.4,8.6,1.3,9.9,13,28,88,0.46,0.08,0.54,0.42,0.50,0.39,0.05,0.44,0.36,0.41,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
801,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,27,1997,9,7,537,6.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,22,8,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches
802,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,30,1993,24,16,"1,417",15.7,6,3,9,3,3,3,2,0,6.4,4.0,5.0,9.0,41,79,122,0.38,0.19,0.57,0.19,0.38,0.40,0.32,0.72,0.25,0.57,Matches
803,Stefan Džodić,rs SRB,"DF,MF",Montpellier,fr Ligue 1,19,2005,7,2,242,2.7,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,2,10,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
804,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,de Bundesliga,28,1995,16,2,373,4.1,0,0,0,0,0,0,2,1,0.4,0.4,0.0,0.4,1,14,4,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
805,Aron Dønnum,no NOR,"DF,MF",Toulouse,fr Ligue 1,26,1998,32,31,"2,689",29.9,2,2,4,2,0,0,6,0,2.1,2.1,4.6,6.7,94,126,142,0.07,0.07,0.13,0.07,0.13,0.07,0.15,0.22,0.07,0.22,Matches
806,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,25,1999,2,0,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
807,Tyronne Ebuehi,ng NGA,"DF,MF",Empoli,it Serie A,28,1995,4,0,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
808,Claudio Echeverri,ar ARG,FW,Manchester City,eng Premier League,18,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
809,Ederson,br BRA,GK,Manchester City,eng Premier League,30,1993,26,26,"2,320",25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.00,0.16,0.16,0.00,0.16,0.00,0.06,0.06,0.00,0.06,Matches
810,Éderson,br BRA,MF,Atalanta,it Serie A,25,1999,37,32,"2,881",32.0,4,1,5,4,0,0,5,1,4.1,4.1,4.3,8.4,40,216,79,0.12,0.03,0.16,0.12,0.16,0.13,0.14,0.26,0.13,0.26,Matches
811,Noah Edjouma,fr FRA,"MF,FW",Toulouse,fr Ligue 1,18,2005,10,1,171,1.9,2,0,2,2,0,0,0,1,1.3,1.3,0.1,1.3,8,7,17,1.05,0.00,1.05,1.05,1.05,0.67,0.03,0.70,0.67,0.70,Matches
812,George Edmundson,eng ENG,DF,Ipswich Town,eng Premier League,26,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
813,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,eng Premier League,26,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches
814,Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,26,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
815,Samuel Edozie,eng ENG,"DF,FW",Southampton,eng Premier League,21,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
816,Ronnie Edwards,eng ENG,DF,Southampton,eng Premier League,21,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
817,Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26,1998,27,22,"1,853",20.6,3,4,7,2,1,2,3,0,4.7,3.1,2.1,5.2,25,43,138,0.15,0.19,0.34,0.10,0.29,0.23,0.10,0.33,0.15,0.25,Matches
818,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,27,1996,33,33,"2,845",31.6,2,0,2,2,0,0,4,0,2.0,2.0,1.5,3.5,34,141,41,0.06,0.00,0.06,0.06,0.06,0.06,0.05,0.11,0.06,0.11,Matches
819,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,29,1995,33,30,"2,498",27.8,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.5,54,55,116,0.00,0.04,0.04,0.00,0.04,0.04,0.08,0.12,0.04,0.12,Matches
820,Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,26,1998,25,9,966,10.7,2,1,3,2,0,0,0,0,1.1,1.1,1.9,3.0,75,38,101,0.19,0.09,0.28,0.19,0.28,0.10,0.17,0.28,0.10,0.28,Matches
821,Jeff Ekhator,it ITA,"FW,MF",Genoa,it Serie A,17,2006,24,6,769,8.5,1,1,2,1,0,0,1,0,1.3,1.3,1.0,2.3,4,14,51,0.12,0.12,0.23,0.12,0.23,0.16,0.12,0.27,0.16,0.27,Matches
