ranker,player,nationality,position,team,comp_level,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches,player_id
540,Rayan Cherki,fr FRA,"FW,MF",Lyon,fr Ligue 1,20,2003,22.7,8,45,19,42.2,1.98,0.84,0.18,0.42,16.8,3,0,0,5.0,5.0,0.11,+3.0,+3.0,Matches,541
541,Youssef Chermiti,pt POR,"FW,MF",Everton,eng Premier League,20,2004,0.5,0,3,1,33.3,6.00,2.00,0.00,0.00,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,542
542,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22,2001,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,543
543,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19,2005,4.2,1,4,1,25.0,0.95,0.24,0.25,1.00,8.6,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches,544
544,Julián Chicco,ar ARG,"MF,DF",Leganés,es La Liga,26,1998,3.4,0,3,1,33.3,0.89,0.30,0.00,0.00,19.7,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches,545
545,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,546
546,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,26,1997,1.2,0,5,2,40.0,4.17,1.67,0.00,0.00,20.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,547
547,Ben Chilwell,eng ENG,DF,Crystal Palace,eng Premier League,27,1996,2.9,1,5,3,60.0,1.74,1.04,0.20,0.33,25.4,2,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,548
548,Chiquinho,pt POR,MF,Wolves,eng Premier League,24,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,549
549,Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,24,2000,1.6,0,4,2,50.0,2.47,1.23,0.00,0.00,15.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,550
550,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27,1997,26.1,0,8,2,25.0,0.31,0.08,0.00,0.00,21.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,551
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,26
551,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,22,2001,21.0,1,19,3,15.8,0.90,0.14,0.05,0.33,21.4,2,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches,552
552,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,eng Premier League,26,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,553
553,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28,1996,2.8,0,1,0,0.0,0.35,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,554
554,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29,1995,23.5,2,33,12,36.4,1.40,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches,555
555,Carney Chukwuemeka,eng ENG,MF,Dortmund,de Bundesliga,20,2003,2.8,1,8,2,25.0,2.85,0.71,0.13,0.50,17.2,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,556
556,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25,1999,10.3,3,32,8,25.0,3.11,0.78,0.09,0.38,19.5,0,0,0,2.7,2.7,0.08,+0.3,+0.3,Matches,557
557,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,19,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,558
558,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35,1989,25.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,559
559,Giuseppe Ciocci,it ITA,GK,Cagliari,it Serie A,22,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,560
560,Alessandro Circati,au AUS,DF,Parma,it Serie A,20,2003,6.0,0,2,0,0.0,0.33,0.00,0.00,,7.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches,561
561,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,30,1994,23.8,4,21,6,28.6,0.88,0.25,0.19,0.67,15.2,0,0,0,1.8,1.7,0.09,+2.2,+2.3,Matches,562
562,Alphadjo Cissè,it ITA,"FW,MF",Hellas Verona,it Serie A,17,2006,0.1,0,2,2,100.0,20.00,20.00,0.00,0.00,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,563
563,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,20,2004,12.5,1,15,7,46.7,1.20,0.56,0.07,0.14,28.3,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches,564
564,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,23,2001,27.1,3,24,5,20.8,0.89,0.18,0.13,0.60,20.0,0,0,0,3.0,3.0,0.13,0.0,0.0,Matches,565
565,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,566
566,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,29,1995,12.3,1,11,2,18.2,0.89,0.16,0.09,0.50,21.0,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,567
567,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,23,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,568
568,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,23,2000,13.1,0,17,2,11.8,1.30,0.15,0.00,0.00,18.9,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches,569
569,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26,1998,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,20.5,1,0,0,4.7,4.7,0.08,+4.3,+4.3,Matches,570
570,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,31,1992,25.6,3,26,8,30.8,1.02,0.31,0.12,0.38,17.2,5,0,0,2.2,2.2,0.09,+0.8,+0.8,Matches,571
571,Silvi Clúa,es ESP,MF,Girona,es La Liga,19,2005,1.8,0,2,1,50.0,1.10,0.55,0.00,0.00,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,572
572,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33,1991,5.4,0,2,0,0.0,0.37,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,573
573,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31,1993,19.0,1,2,2,100.0,0.11,0.11,0.50,0.50,6.9,0,0,0,0.4,0.4,0.21,+0.6,+0.6,Matches,574
574,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28,1996,10.6,0,2,0,0.0,0.19,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,575
575,Saúl Coco,gq EQG,DF,Torino,it Serie A,25,1999,31.6,2,20,5,25.0,0.63,0.16,0.10,0.40,18.7,3,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches,576
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,26
576,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,35,1988,2.4,0,1,1,100.0,0.42,0.42,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches,577
577,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23,2001,38.0,2,17,6,35.3,0.45,0.16,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches,578
578,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,20,2004,16.5,1,5,2,40.0,0.30,0.12,0.20,0.50,15.1,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches,579
579,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,20,2004,2.0,0,1,0,0.0,0.50,0.00,0.00,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,580
580,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,22,2002,24.8,6,55,18,32.7,2.22,0.73,0.09,0.28,18.1,0,1,1,5.9,5.1,0.09,+0.1,-0.1,Matches,581
581,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25,1999,16.1,2,36,12,33.3,2.23,0.74,0.06,0.17,18.5,2,0,0,2.7,2.7,0.07,-0.7,-0.7,Matches,582
582,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21,2003,35.0,2,17,4,23.5,0.49,0.11,0.12,0.50,9.5,0,0,0,1.9,1.9,0.11,+0.1,+0.1,Matches,583
583,Florinel Coman,ro ROU,"FW,MF",Cagliari,it Serie A,26,1998,2.9,1,4,1,25.0,1.37,0.34,0.25,1.00,19.9,1,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches,584
584,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28,1996,14.2,5,44,17,38.6,3.09,1.19,0.11,0.29,16.7,0,0,0,4.3,4.3,0.10,+0.7,+0.7,Matches,585
585,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,26,1998,19.8,0,9,1,11.1,0.46,0.05,0.00,0.00,21.4,1,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches,586
586,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,27,1996,28.4,4,39,8,20.5,1.37,0.28,0.10,0.50,13.1,0,0,0,4.6,4.6,0.12,-0.6,-0.6,Matches,587
587,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,19,2005,24.4,1,5,2,40.0,0.20,0.08,0.20,0.50,13.0,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches,588
588,Francisco Conceição,pt POR,"FW,MF",Juventus,it Serie A,21,2002,14.9,3,40,13,32.5,2.69,0.87,0.08,0.23,18.1,1,0,0,2.3,2.3,0.06,+0.7,+0.7,Matches,589
589,Diego Conde,es ESP,GK,Villarreal,es La Liga,25,1998,21.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,590
590,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26,1998,9.4,1,22,10,45.5,2.34,1.06,0.05,0.10,18.3,2,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches,591
591,Alois Confais,fr FRA,MF,Le Havre,fr Ligue 1,27,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,592
592,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28,1996,9.9,1,13,5,38.5,1.31,0.50,0.08,0.20,15.0,0,0,0,2.1,2.1,0.16,-1.1,-1.1,Matches,593
593,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,27,1997,33.1,1,14,4,28.6,0.42,0.12,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches,594
594,Copete,es ESP,DF,Mallorca,es La Liga,24,1999,17.0,0,6,2,33.3,0.35,0.12,0.00,0.00,9.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,595
595,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,20,2003,32.5,2,10,4,40.0,0.31,0.12,0.20,0.50,9.1,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches,596
596,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,33,1991,2.5,1,7,1,14.3,2.81,0.40,0.14,1.00,16.7,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches,597
597,Iker Córdoba,es ESP,DF,Valencia,es La Liga,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,598
598,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,26,1997,15.8,0,9,1,11.1,0.57,0.06,0.00,0.00,11.8,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches,599
599,Maxwel Cornet,ci CIV,FW,Southampton,eng Premier League,27,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,600
600,Maxwel Cornet,ci CIV,"FW,MF",Genoa,it Serie A,27,1996,2.7,2,5,3,60.0,1.83,1.10,0.40,0.67,12.3,0,0,0,1.0,1.0,0.20,+1.0,+1.0,Matches,601
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,26
601,Pierre Cornud,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1996,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,602
602,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,29,1995,8.9,4,34,14,41.2,3.80,1.57,0.12,0.29,13.9,0,0,0,4.5,4.5,0.13,-0.5,-0.5,Matches,603
603,Joaquín Correa,ar ARG,"FW,MF",Inter,it Serie A,29,1994,8.1,2,14,6,42.9,1.72,0.74,0.14,0.33,13.3,0,0,0,2.1,2.1,0.15,-0.1,-0.1,Matches,604
604,Thierry Correia,pt POR,DF,Valencia,es La Liga,25,1999,8.5,0,7,3,42.9,0.82,0.35,0.00,0.00,19.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,605
605,Alberto costa,pt POR,DF,Juventus,it Serie A,20,2003,4.0,0,7,0,0.0,1.76,0.00,0.00,,15.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,606
606,Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,22,2002,11.2,1,23,8,34.8,2.06,0.72,0.04,0.13,18.3,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches,607
607,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,31,1993,22.3,0,5,1,20.0,0.22,0.04,0.00,0.00,31.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,608
608,David Costa,pt POR,"MF,FW",Lens,fr Ligue 1,23,2001,3.9,0,9,2,22.2,2.30,0.51,0.00,0.00,18.0,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches,609
609,Logan Costa,cv CPV,DF,Villarreal,es La Liga,23,2001,28.7,2,12,5,41.7,0.42,0.17,0.17,0.40,15.9,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches,610
610,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,611
611,Samu Costa,pt POR,MF,Mallorca,es La Liga,23,2000,29.4,0,30,8,26.7,1.02,0.27,0.00,0.00,18.3,1,0,0,1.8,1.8,0.06,-1.8,-1.8,Matches,612
612,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,613
613,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,31,1992,11.9,0,7,2,28.6,0.59,0.17,0.00,0.00,15.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,614
614,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28,1996,29.6,1,9,3,33.3,0.30,0.10,0.11,0.33,18.7,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches,615
615,Lasso Coulibaly,ci CIV,"FW,MF",Auxerre,fr Ligue 1,21,2002,0.5,1,3,2,66.7,6.00,4.00,0.33,0.50,16.2,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches,616
616,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20,2004,0.1,0,1,0,0.0,11.25,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,617
617,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,20,2003,4.9,0,4,0,0.0,0.82,0.00,0.00,,12.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,618
618,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23,2001,16.5,3,30,13,43.3,1.82,0.79,0.10,0.23,15.4,0,0,0,3.5,3.5,0.12,-0.5,-0.5,Matches,619
619,Woyo Coulibaly,ml MLI,DF,Leicester City,eng Premier League,25,1999,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,620
620,Woyo Coulibaly,ml MLI,DF,Parma,it Serie A,25,1999,12.0,0,3,0,0.0,0.25,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,621
621,Marius Courcoul,fr FRA,"MF,DF",Angers,fr Ligue 1,17,2007,3.4,0,3,1,33.3,0.87,0.29,0.00,0.00,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,622
622,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32,1992,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,623
623,Yan Couto,br BRA,"DF,FW",Dortmund,de Bundesliga,22,2002,9.9,0,6,2,33.3,0.60,0.20,0.00,0.00,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,624
624,Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,25,1999,22.8,1,17,6,35.3,0.75,0.26,0.06,0.17,17.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches,625
625,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34,1989,9.2,0,5,0,0.0,0.55,0.00,0.00,,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,626
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,26
626,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,21,2002,28.8,3,32,13,40.6,1.11,0.45,0.09,0.23,9.5,0,0,0,3.3,3.3,0.10,-0.3,-0.3,Matches,627
627,Bryan Cristante,it ITA,MF,Roma,it Serie A,29,1995,22.7,4,30,7,23.3,1.32,0.31,0.13,0.57,16.9,0,0,0,2.1,2.1,0.07,+1.9,+1.9,Matches,628
628,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,28,1995,1.5,0,1,0,0.0,0.66,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,629
629,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32,1992,16.6,0,4,0,0.0,0.24,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,630
630,Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24,2000,25.1,5,33,14,42.4,1.32,0.56,0.15,0.36,21.0,1,0,0,2.7,2.7,0.08,+2.3,+2.3,Matches,631
631,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36,1988,9.2,0,16,4,25.0,1.73,0.43,0.00,0.00,16.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,632
632,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17,2007,29.1,0,8,0,0.0,0.28,0.00,0.00,,8.9,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches,633
633,Cucho,co COL,FW,Betis,es La Liga,25,1999,12.7,5,43,11,25.6,3.40,0.87,0.12,0.45,15.9,0,0,0,3.8,3.8,0.09,+1.2,+1.2,Matches,634
634,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26,1998,33.2,5,24,11,45.8,0.72,0.33,0.21,0.45,16.1,0,0,0,2.8,2.8,0.12,+2.2,+2.2,Matches,635
635,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,24,1999,3.9,0,1,0,0.0,0.26,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,636
636,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25,1999,28.9,15,110,44,40.0,3.81,1.52,0.14,0.34,20.5,12,0,0,8.6,8.6,0.08,+6.4,+6.4,Matches,637
637,Patrick Cutrone,it ITA,FW,Como,it Serie A,26,1998,22.7,7,69,26,37.7,3.03,1.14,0.10,0.27,15.9,0,0,1,7.1,6.3,0.09,-0.1,+0.7,Matches,638
638,Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,23,2000,9.2,2,24,9,37.5,2.60,0.97,0.08,0.22,13.9,0,0,0,3.8,3.8,0.16,-1.8,-1.8,Matches,639
639,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,29,1995,0.3,0,1,0,0.0,3.21,0.00,0.00,,15.2,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches,640
640,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35,1988,12.2,0,9,4,44.4,0.74,0.33,0.00,0.00,18.0,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,641
641,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23,2001,29.0,3,37,14,37.8,1.27,0.48,0.08,0.21,23.8,3,0,0,2.0,2.0,0.05,+1.0,+1.0,Matches,642
642,Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,643
643,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26,1998,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,644
644,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,30,1994,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,645
645,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,28,1996,4.0,1,7,2,28.6,1.73,0.49,0.14,0.50,22.6,1,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches,646
646,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25,1998,8.2,1,15,4,26.7,1.83,0.49,0.07,0.25,14.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,647
647,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22,2002,4.8,0,1,0,0.0,0.21,0.00,0.00,,19.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,648
648,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23,2000,12.8,3,31,11,35.5,2.42,0.86,0.10,0.27,11.6,0,0,0,4.3,4.3,0.14,-1.3,-1.3,Matches,649
649,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25,1999,31.3,0,25,5,20.0,0.80,0.16,0.00,0.00,16.1,0,0,0,2.0,2.0,0.08,-2.0,-2.0,Matches,650
650,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24,2000,32.3,2,35,7,20.0,1.08,0.22,0.06,0.29,17.6,3,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches,651
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,26
651,Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,18,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,652
652,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23,2001,11.2,0,3,1,33.3,0.27,0.09,0.00,0.00,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,653
653,Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,23,2001,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,654
654,Danilo,br BRA,DF,Juventus,it Serie A,33,1991,6.5,0,1,0,0.0,0.15,0.00,0.00,,8.2,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,655
655,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27,1997,2.2,2,6,3,50.0,2.70,1.35,0.33,0.67,13.9,0,0,0,0.8,0.8,0.14,+1.2,+1.2,Matches,656
656,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27,1997,14.8,2,30,14,46.7,2.02,0.94,0.07,0.14,16.0,1,0,0,3.6,3.6,0.12,-1.6,-1.6,Matches,657
657,Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,18,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,658
658,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20,2004,16.2,0,17,3,17.6,1.05,0.18,0.00,0.00,17.4,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches,659
659,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,25,1998,9.4,0,7,3,42.9,0.75,0.32,0.00,0.00,16.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,660
660,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25,1998,12.0,0,10,2,20.0,0.83,0.17,0.00,0.00,13.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,661
661,Dante,br BRA,DF,Nice,fr Ligue 1,40,1983,21.8,0,9,2,22.2,0.41,0.09,0.00,0.00,11.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,662
662,Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,,,0.9,1,5,2,40.0,5.77,2.31,0.20,0.50,11.5,0,0,0,1.0,1.0,0.20,0.0,0.0,Matches,663
663,Mohamed Daramy,dk DEN,FW,Reims,fr Ligue 1,22,2002,0.2,0,1,0,0.0,5.63,0.00,0.00,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,664
664,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,18,2006,14.5,1,11,1,9.1,0.76,0.07,0.09,1.00,14.8,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches,665
665,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,30,1993,30.5,2,36,9,25.0,1.18,0.30,0.06,0.22,24.2,1,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches,666
666,Matteo Darmian,it ITA,DF,Inter,it Serie A,34,1989,19.8,3,11,3,27.3,0.56,0.15,0.27,1.00,14.4,0,0,0,1.9,1.9,0.18,+1.1,+1.1,Matches,667
667,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25,1998,4.6,1,8,4,50.0,1.75,0.87,0.13,0.25,15.8,0,0,1,2.7,1.9,0.24,-1.7,-0.9,Matches,668
