ranker,player,nationality,position,team,comp_level,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches,player_id
197,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,35,1988,1.0,0,0,0,0,0,0.0,,0.0,0.00,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.00,12.3,Matches,2649
198,Jonas Urbig,de GER,GK,Bayern Munich,de Bundesliga,20,2003,8.0,12,0,0,2,0,10.3,0.38,-1.7,-0.21,30,79,38.0,263,33,26.2,30.9,23,43.5,43.1,81,5,6.2,21,2.63,17.4,Matches,2656
199,Hákon Valdimarsson,is ISL,GK,Brentford,eng Premier League,22,2001,1.6,2,0,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0.00,4.7,Matches,2659
200,Maarten Vandevoordt,be BEL,GK,RB Leipzig,de Bundesliga,22,2002,4.8,9,0,0,4,0,7.3,0.36,-1.7,-0.35,19,52,36.5,139,27,23.0,29.4,35,57.1,46.0,78,7,9.0,11,2.31,16.1,Matches,2675
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,26
201,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,28,1995,33.0,39,1,0,5,1,47.4,0.32,+9.4,+0.29,164,493,33.3,1267,107,34.2,32.7,134,44.8,38.0,411,24,5.8,27,0.82,12.8,Matches,2679
202,Devis Vásquez,co COL,GK,Empoli,it Serie A,26,1998,32.0,45,1,0,4,0,40.2,0.31,-4.8,-0.15,161,560,28.8,953,104,48.5,39.0,150,65.3,52.0,490,36,7.3,15,0.47,10.9,Matches,2680
203,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,21,2002,36.0,58,9,1,4,2,51.0,0.31,-5.0,-0.14,122,386,31.6,1226,122,26.9,29.7,83,67.5,48.5,414,27,6.5,47,1.31,13.9,Matches,2697
204,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,27,1996,24.0,37,1,0,6,2,37.4,0.36,+2.4,+0.10,28,95,29.5,809,120,10.5,22.8,65,15.4,22.8,312,30,9.6,31,1.29,13.3,Matches,2705
205,Fran Vieites,es ESP,GK,Betis,es La Liga,25,1999,4.0,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40.0,38.0,29,62.1,46.4,65,6,9.2,4,1.00,12.8,Matches,2711
206,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,27,1997,4.0,9,0,0,3,2,8.2,0.40,+1.2,+0.30,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8,Matches,2715
207,Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,28,1995,7.0,19,2,0,0,0,17.1,0.40,-1.9,-0.28,42,116,36.2,204,35,42.6,34.3,51,56.9,44.5,111,12,10.8,2,0.29,8.2,Matches,2742
208,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,31,1993,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37.0,32.0,7,71.4,52.0,11,0,0.0,2,1.33,20.7,Matches,2747
209,Timon Weiner,de GER,GK,Holstein Kiel,de Bundesliga,25,1999,25.0,61,4,2,5,2,47.2,0.32,-11.8,-0.47,167,444,37.6,789,116,40.2,34.5,198,64.1,48.4,491,27,5.5,18,0.72,11.1,Matches,2756
210,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,29,1994,32.0,41,4,2,9,0,45.0,0.29,+4.0,+0.12,175,567,30.9,977,132,46.2,38.7,179,64.8,52.1,524,45,8.6,58,1.81,14.0,Matches,2830
211,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,29,1995,34.0,57,3,2,4,3,52.9,0.33,-1.1,-0.03,134,370,36.2,1204,188,27.7,31.9,107,33.6,36.8,464,35,7.5,34,1.00,13.5,Matches,2837
212,Melvin Zinga,fr FRA,GK,Angers,fr Ligue 1,22,2002,1.0,2,1,0,0,0,2.4,0.41,+0.4,+0.40,2,11,18.2,22,4,40.9,39.0,11,18.2,25.6,20,1,5.0,2,2.00,16.8,Matches,2842
